DateKey,FullDate,Year,Quarter,Month,Day,DayOfWeek
20000730,2000-07-30,2000,3,7,30,Sunday
20000808,2000-08-08,2000,3,8,8,Tuesday
20151024,2015-10-24,2015,4,10,24,Saturday
20110527,2011-05-27,2011,2,5,27,Friday
20010410,2001-04-10,2001,2,4,10,Tuesday
19991214,1999-12-14,1999,4,12,14,Tuesday
20000726,2000-07-26,2000,3,7,26,Wednesday
20000725,2000-07-25,2000,3,7,25,Tuesday
20010409,2001-04-09,2001,2,4,9,Monday
19991213,1999-12-13,1999,4,12,13,Monday
19991219,1999-12-19,1999,4,12,19,Sunday
20000728,2000-07-28,2000,3,7,28,Friday
20011205,2001-12-05,2001,4,12,5,Wednesday
19961108,1996-11-08,1996,4,11,8,Friday
19961017,1996-10-17,1996,4,10,17,Thursday
20050125,2005-01-25,2005,1,1,25,Tuesday
20050126,2005-01-26,2005,1,1,26,Wednesday
20050130,2005-01-30,2005,1,1,30,Sunday
20050415,2005-04-15,2005,2,4,15,Friday
20061025,2006-10-25,2006,4,10,25,Wednesday
20050315,2005-03-15,2005,1,3,15,Tuesday
20050302,2005-03-02,2005,1,3,2,Wednesday
20060911,2006-09-11,2006,3,9,11,Monday
20070304,2007-03-04,2007,1,3,4,Sunday
20050203,2005-02-03,2005,1,2,3,Thursday
20050217,2005-02-17,2005,1,2,17,Thursday
20050606,2005-06-06,2005,2,6,6,Monday
20050313,2005-03-13,2005,1,3,13,Sunday
20050725,2005-07-25,2005,3,7,25,Monday
20050307,2005-03-07,2005,1,3,7,Monday
20050323,2005-03-23,2005,1,3,23,Wednesday
20050413,2005-04-13,2005,2,4,13,Wednesday
20050801,2005-08-01,2005,3,8,1,Monday
20051005,2005-10-05,2005,4,10,5,Wednesday
20050520,2005-05-20,2005,2,5,20,Friday
20050711,2005-07-11,2005,3,7,11,Monday
20050830,2005-08-30,2005,3,8,30,Tuesday
20061029,2006-10-29,2006,4,10,29,Sunday
20060605,2006-06-05,2006,2,6,5,Monday
20060412,2006-04-12,2006,2,4,12,Wednesday
20060831,2006-08-31,2006,3,8,31,Thursday
20060925,2006-09-25,2006,3,9,25,Monday
20070125,2007-01-25,2007,1,1,25,Thursday
20070319,2007-03-19,2007,1,3,19,Monday
20061211,2006-12-11,2006,4,12,11,Monday
20070410,2007-04-10,2007,2,4,10,Tuesday
19960808,1996-08-08,1996,3,8,8,Thursday
20030207,2003-02-07,2003,1,2,7,Friday
20160212,2016-02-12,2016,1,2,12,Friday
20160213,2016-02-13,2016,1,2,13,Saturday
20160216,2016-02-16,2016,1,2,16,Tuesday
19980803,1998-08-03,1998,3,8,3,Monday
19980723,1998-07-23,1998,3,7,23,Thursday
19980830,1998-08-30,1998,3,8,30,Sunday
20090710,2009-07-10,2009,3,7,10,Friday
20010421,2001-04-21,2001,2,4,21,Saturday
20010416,2001-04-16,2001,2,4,16,Monday
19960622,1996-06-22,1996,2,6,22,Saturday
20171113,2017-11-13,2017,4,11,13,Monday
20110306,2011-03-06,2011,1,3,6,Sunday
20130826,2013-08-26,2013,3,8,26,Monday
20110518,2011-05-18,2011,2,5,18,Wednesday
20110605,2011-06-05,2011,2,6,5,Sunday
20120119,2012-01-19,2012,1,1,19,Thursday
20111130,2011-11-30,2011,4,11,30,Wednesday
20160211,2016-02-11,2016,1,2,11,Thursday
20160408,2016-04-08,2016,2,4,8,Friday
20160422,2016-04-22,2016,2,4,22,Friday
20160209,2016-02-09,2016,1,2,9,Tuesday
20160217,2016-02-17,2016,1,2,17,Wednesday
20160320,2016-03-20,2016,1,3,20,Sunday
20160301,2016-03-01,2016,1,3,1,Tuesday
20160215,2016-02-15,2016,1,2,15,Monday
